dateTime,zone1_Tibet-Lhasa,zone2_Chengdu,zone3_Peking,zone4_Wuhan,zone5_Shenzhen
2008043000,0,0,0,0,0
2008043001,0,0,0,0,0
2008043002,0,0,0,0,0
2008043003,0,0,0,0,0
2008043004,0,0,0,0,0
2008043005,0,0,0,0,0
2008043006,0,0,0,0,0
2008043007,0.78870689868927,0,0,0,0
2008043008,0,0,0,0,0
2008043009,0,0,0,0,0
2008043010,0,0,0,0,0
2008043011,0,0,0,0,0
2008043012,0,0,0,0,0
2008043013,0,0,0,0,0
2008043014,0,0,0,0,0
2008043015,0,0,0,0,0
2008043016,0,0,0,0,0
2008043017,0,0,0,0,0
2008043018,0,0,0,0,0
2008043019,0,0,0,0,0
2008043020,0,0,0,0,0
2008043021,0,0,0,0,0
2008043022,0,0,0,0,0
2008043023,0,0,0,0,0
2008050100,0,0,0,0,0.0404753796756268
2008050101,0,0,0,0,0.245769768953323
2008050102,0,0,0,0,0
2008050103,0,0,0,0,0.19515086710453
2008050104,0,0,0,0,0
2008050105,0,0,0,0,0
2008050106,0,0,0,0,0
2008050107,0,0,0,0,0
2008050108,0,0,0,0,0
2008050109,0,0,0,0,0
2008050110,0,0,0,0,0
2008050111,0,0,0,0,0
2008050112,0,0,0,0,0.215019196271896
2008050113,0,0,0,0,0.68719470500946
2008050114,0,0,0,0,0.386622965335846
2008050115,0,0,0,0,0.0576866306364536
2008050116,0,0,0,0,0
2008050117,0,0,0,0,0
2008050118,0,0,0,0,0
2008050119,0,0.634033381938934,0,0,0
2008050120,0,0.607405722141266,0,0,0.221566364169121
2008050121,0.10834713280201,0,0,0,0.039262417703867
2008050122,0.207405433058739,0,0,0,0.085340604186058
2008050123,0.351497799158096,0,0,0,0.822548508644104
2008050200,0,0,0,0,1.81351578235626
2008050201,0,0,0.0307283159345388,0,2.90704703330994
2008050202,0,0,0,0,2.97583246231079
2008050203,0,0,0,0,0.45967960357666
2008050204,0,0,0,0,0.746981203556061
2008050205,0,0,0,0,0.275698781013489
2008050206,0.469506919384003,0,0,0,0.11921975761652
2008050207,0.700000047683716,0,0,0,0
2008050208,0.516795337200165,0,0,0,0
2008050209,0,0,0,0,0
2008050210,0.139620512723923,0,0,0,0
2008050211,0,0,0,0,0
2008050212,0,0,0,0,0
2008050213,0,0,0,0,0
2008050214,0,0,0,0,0
2008050215,0,0,0,0,0
2008050216,0,0,0,0,0
2008050217,0,0,0,0.203524023294449,0
2008050218,0,0,0,3.05521321296692,0
2008050219,0,0,0,0.999013602733612,0
2008050220,0,0,0,0,0.0470706894993782
2008050221,0,0,0,0.11332818120718,0.140693321824074
2008050222,0,0,0,0.73009842634201,0.362349331378937
2008050223,0,0,0,0.429003983736038,0.370727926492691
2008050300,0,0,0,2.00104403495789,0.043659508228302
2008050301,0,0,0,0,0
2008050302,0,0,1.44705080986023,1.65536665916443,0
2008050303,0,0,11.1390361785889,7.18811416625977,0
2008050304,0,0.311360955238342,0.624971032142639,0.242688879370689,0
2008050305,0,0,1.32180535793304,0.718464493751526,0
2008050306,0,0,1.45937359333038,0.658036649227142,0
2008050307,0,0,0.418851941823959,0,0
2008050308,0,0,0.0858282074332237,0,0
2008050309,0,0,0,0,0
2008050310,0,0,0.0524339787662029,0,0
2008050311,0,0,0.0480722635984421,0,0
2008050312,0,0,0,2.12071323394775,0
2008050313,0,0,0,12.2250118255615,0
2008050314,0,0,0,4.82397556304932,0
2008050315,0,0,0,0.223021149635315,0
2008050316,0,0,0,0,0
2008050317,0,0,0,0,0
2008050318,0,0,0,0.1454097032547,0
2008050319,0,0,0,0,0.0451509170234203
2008050320,0,0,0,0,0
2008050321,0,0,0,0,0
2008050322,0,0,0,0,0
2008050323,0,0,0,0,0
2008050400,0,0,0,0,0
2008050401,0,0,0,0,0
2008050402,0,0,0,0,0
2008050403,0,0,0,0,0
2008050404,0,0,0,0,0
2008050405,0,0,0,0,0
2008050406,0,0,0,0,0
2008050407,0,0,0,0,0
2008050408,0,0,0,0,0
2008050409,0,0,0.06378423422575,0,0
2008050410,0,0,0,0,0
2008050411,0,0,0,0,0
2008050412,0,0,0,0,0
2008050413,0,0,0,0,0
2008050414,0,0,0,0,0
2008050415,0,0,0,0,0
2008050416,0,0,0,0,0
2008050417,0,0,0,0,0
2008050418,0,0,0,0,0
2008050419,0,0,0,0,0
2008050420,0,0,0,0,0
2008050421,0.25278240442276,0,0,0,0
2008050422,0.131422534584999,0,0,0,0
2008050423,0,0,0,0,0
2008050500,0,0,0,0,0
2008050501,0,0,0,0,0
2008050502,0,0,0,0,0
2008050503,0,0,0,0,0
2008050504,0,0,0,0,0
2008050505,0,0,0,0,0
2008050506,0,0,0,0,0
2008050507,0,0,0,0,0.201269283890724
2008050508,0,0,0,0,0
2008050509,0,0,0,0,0.0255632549524307
2008050510,0,0,0,0,0.326843500137329
2008050511,0,0,0,0,0.325501888990402
2008050512,0,0,0,0,2.23040223121643
2008050513,0,0,0,0,4.204421043396
2008050514,0,0,0,0,1.80428075790405
2008050515,0,0,0,0,0
2008050516,0,0,0,0,0.0414185710251331
2008050517,0,0,0,0,0.181251108646393
2008050518,0,0,0,0,0
2008050519,0,0,0,0,0.0572748444974422
2008050520,0,0,0,0,0
2008050521,0,0,0,0,0
2008050522,0,0,0,0,0
2008050523,0,0,0,0,0
2008050600,0,0,0,0,0
2008050601,0,0,0,0,0.329455018043518
2008050602,0,0,0,0,0.365824043750763
2008050603,0,0,0,0,0.352854818105698
2008050604,0,0,0,0,0.17574180662632
2008050605,0,0,0,0,0.1280817091465
2008050606,0,0,0,0,0
2008050607,0,0,0,0,0
2008050608,0,0,0,0,0
2008050609,0,0,0,0,0
2008050610,0,0,0,0,0
2008050611,0,0,0,0,0
2008050612,0,0,0,0,0
2008050613,0,0,0,0,0
2008050614,0,0,0,0,0
2008050615,0,0,0,0,0
2008050616,0,0,0,0,0
2008050617,0,0,0,0,0
2008050618,0,0,0,0,0
2008050619,0,0,0,0,0
2008050620,0,0,0.0719642341136932,0,0
2008050621,0,0,0,0,0
2008050622,0,0,0,0,0
2008050623,0,0,0,0,0
2008050700,0,0,0,0,0
2008050701,0,0,0.136529684066772,0,0
2008050702,0,0,0.558247029781342,0,0
2008050703,0,0,0.151218429207802,0,0
2008050704,0,0,0,0,0
2008050705,0,0,0,0,0
2008050706,0,0,0,0,0
2008050707,0,0,0,0,0
2008050708,0,0,0,0,0
2008050709,0,0,0,0,0
2008050710,0,0,0,0,0
2008050711,0,0,0,0,0
2008050712,0,0,0,0,0
2008050713,0,0,0,0,0
2008050714,0,0,0,0,0
2008050715,0,0,0,0,0
2008050716,0,0,0,0,0
2008050717,0,0,0,0,0
2008050718,0,0,0,0.113060228526592,0
2008050719,0,0,0,0.148205429315567,0
2008050720,0,0,0,5.35988664627075,0
2008050721,0,0,0,7.77419853210449,0
2008050722,0,0,0,5.74719762802124,0
2008050723,0,0,0,2.33655476570129,0
2008050800,0,0,0,0.10266450047493,0
2008050801,0,0,0,0,0
2008050802,0,0,0,0,0
2008050803,0,0,0,0,0
2008050804,0,0,0,0,0
2008050805,0,0,0,0,0
2008050806,0,0,0,0,0
2008050807,0,0,0,0,0
2008050808,0,0,0,0,0
2008050809,0,0,0,1.92608571052551,0
2008050810,0,0,0,0.871646285057068,0
2008050811,0,0,0,0.340681523084641,0
2008050812,0,0,0,0.476010024547577,0
2008050813,0,0,0,1.73363268375397,0
2008050814,0,0,0,0.884262025356293,0
2008050815,0,0,0,0.63687652349472,0
2008050816,0,0,0,0.249316334724426,0
2008050817,0,0.214505016803741,0,0.487697929143906,0
2008050818,0,0.325214415788651,0,0,0
2008050819,0,0.67924839258194,0,0.655794858932495,0
2008050820,0,0.447796434164047,0,1.1427001953125,0
2008050821,0.077212929725647,1.14403986930847,0,0.814620673656464,0
2008050822,0,1.17100012302399,0,0.230902776122093,0
2008050823,0,0.349460244178772,0,0,0
2008050900,0,0.970256567001343,0,0,0
2008050901,0,0,0,0,0
2008050902,0,0,0,0,0
2008050903,0,0,0,0,0
2008050904,0,0,0,0,0
2008050905,0,0,0,0,0
2008050906,0,0,0,0,0
2008050907,0,0,0,0,0
2008050908,0,0,2.23967242240906,0,0
2008050909,0,0,0,0.733927428722382,0
2008050910,0,0,0.0203791111707687,0,0
2008050911,0,0,0,0,0
2008050912,0,0,0,0,0
2008050913,0,0,0,0,0
2008050914,0,0,0,0,0.273010015487671
2008050915,0,0,0,0,0.853008031845093
2008050916,0,0,0,0,0
2008050917,0,0,0,0,0
2008050918,0,0,0,0,0
2008050919,0,0,0,0,0
2008050920,0,0,0,0,0
2008050921,0,0,0,0,0
2008050922,0,0,0,0,0
2008050923,0,0,0,0,0
2008051000,0,0,0,0,0.130425542593002
2008051001,0,0,0,0,0
2008051002,0,0,0,0,0
2008051003,0,0,0,0,0
2008051004,0,0,0,0,0
2008051005,0,0,0,0,0
2008051006,0,0,0,0,0
2008051007,0,0,0,0,0
2008051008,0,0,0,0,0.177842080593109
2008051009,0,0,0,0,0.294712215662003
2008051010,0,0,0,0,0.108467660844326
2008051011,0,0,0,0,1.52920162677765
2008051012,0,0,0,0,1.33370172977448
2008051013,0,0,0,0,0
2008051014,0,0,0,0,0.237884968519211
2008051015,0,0,0,0,0
2008051016,0.065130703151226,0,0,0,0
2008051017,0.226203858852386,0,0,0,0.0745121091604233
2008051018,0,0,0,0,0.20474399626255
2008051019,0,0,0,0,0.172641068696976
2008051020,0,0,0.761124491691589,0,0.0420157052576542
2008051021,0.520606219768524,0,1.84640085697174,0,0
2008051022,0.428127467632294,0,0.911105871200562,0,0
2008051023,0.0356046631932259,0,0.50320303440094,0,0
2008051100,0,0,0.536192119121552,0,0.0770999044179916
2008051101,0,0,0.64066469669342,0,0
2008051102,0.341194212436676,0,1.13888263702393,0,0
2008051103,0,0,1.08810532093048,0,0
2008051104,0,0,1.0351003408432,0,0
2008051105,0,0,0.517071902751923,0,0
2008051106,0,0,0.302055537700653,0,0
2008051107,0,0,0.0981690585613251,0,0
2008051108,0,0,0.270443201065063,0,0
2008051109,0,0,0,0,0
2008051110,0,0,0,0,0
2008051111,0,0,0.174107059836388,0,0
2008051112,0,0,0.299879848957062,0,0
2008051113,0,0,0,0,0
2008051114,0,0,0,0,0
2008051115,0,0,0,0,0
2008051116,0,0,0.0488617271184921,0,0
2008051117,0.319575130939484,0,0,0,0
2008051118,0,0,0,0,0
2008051119,0,0,0,0,0
2008051120,0.114661335945129,0,0,0,0
2008051121,0,0,0,0,0
2008051122,0,0,0.0627878457307816,0,0
2008051123,0,0,0,0,0
2008051200,0,0,0,0,0
2008051201,0,0,0,0,0
2008051202,0,0,0.0483874008059502,0,0
2008051203,0,0,0.200434401631355,0,0
2008051204,0,0,0.24851006269455,0,0
2008051205,0,0,0.219307497143745,0,0
2008051206,0,0,0,0,0
2008051207,0,3.59439015388489,0,0,0
2008051208,0,0,0,0,0
2008051209,0,0,0,0,0
2008051210,0,0,0,0,0
2008051211,0,0,0,0,0
2008051212,0,0,0,0,0
2008051213,0.219298988580704,0,0,0,0
2008051214,0,0,0,0,0
2008051215,0,0,0,0,0
2008051216,0,0,0,0,0
2008051217,0,0,0,0,0
2008051218,0,0,0,0,0
2008051219,0,0,0,0,0
2008051220,0,0,0,0,0
2008051221,0,0,0,0,0
2008051222,0,0.105201549828053,0,0,0
2008051223,0,1.3306884765625,0,0,0
2008051300,0,1.52216613292694,0,0,0
2008051301,0,1.37999510765076,0,0,0
2008051302,0,0.514623165130615,0,0,0
2008051303,0,0.336085677146912,0,0,0
2008051304,0,0.192451313138008,0,0,0
2008051305,0,0,0,0,0
2008051306,0,0,0,0,0
2008051307,0,0,0,0,0
2008051308,0,0,0,0,0
2008051309,0,0.169562831521034,0,0,0
2008051310,0,0.148913249373436,0,0,0
2008051311,0,0.688661396503448,0,0,0
2008051312,0,1.15240859985352,0,0,0
2008051313,0,3.68654036521912,0,0,0
2008051314,0,3.91878437995911,0,0,0
2008051315,0,4.16334629058838,0,0,0
2008051316,0,1.72361743450165,0,0,0
2008051317,0,2.33158206939697,0,0,0
2008051318,0,3.97176861763,0,0,0
2008051319,0,2.16269659996033,0,0,0
2008051320,0,1.7663494348526,0,0,0
2008051321,0,1.73970234394073,0.035132996737957,0,0
2008051322,0,1.3177102804184,0,0,0
2008051323,0,0.445550441741943,0,0,0
2008051400,0,0,0,0,0
2008051401,0,0.195476740598679,0,0,0
2008051402,0,0,0,0,0
2008051403,0,0,0,0,0
2008051404,0,0,0,0,0
2008051405,0,0,0,0,0
2008051406,0,0,0,0,0
2008051407,0,0,0,0,0
2008051408,0,0,0,0,0
2008051409,0,0,0.106230311095715,0,0
2008051410,0,0,2.26843762397766,0,0
2008051411,0,0,0.651616513729095,0,0
2008051412,0,0,0,0,0
2008051413,0,0,0.0229935608804226,0,0
2008051414,0,0,0,0,0
2008051415,0,0,0,0,0
2008051416,0,0,0,0,0
2008051417,0,0,0,0,0
2008051418,0,0,0,0,0
2008051419,0,0,0,0,0
2008051420,0,0,0,0,0
2008051421,0,0,0,0,0
2008051422,0,0,0,0,0
2008051423,0,0,0,0,0
2008051500,0,0,0,0,0
2008051501,0,0,0,0,0
2008051502,0,0,0,0,0
2008051503,0,0,0,0,0
2008051504,0,0,0,0,0
2008051505,0,0,0,0,0
2008051506,0,0,0,0,0
2008051507,0,0,0,0,0
2008051508,0,0,0,0,0
2008051509,0,0,0,0,0
2008051510,0,0,0,0,0
2008051511,0,0,0,0,0
2008051512,0,0,0,0,0
2008051513,0,0,0,0,0
2008051514,0,0,0,0,0
2008051515,0,0,0,0,0
2008051516,0,0,0,0,0
2008051517,0,0,0,0,0
2008051518,0,0,0,0,0
2008051519,0,0,0,0,0
2008051520,0,0,0,0,0
2008051521,1.28681349754333,0,0,0,0
2008051522,0.344030201435089,0,0,0,0
2008051523,0.24511094391346,0,0,0,0
2008051600,0.892360329627991,0,0,0,0
2008051601,0.171052545309067,0,0,0,0
2008051602,0,0,0,0,0
2008051603,0,0,0,0,0
2008051604,0,0,0,0,0
2008051605,0,0,0,0,0
2008051606,0,0,0,0,0
2008051607,0,0,0,0,0
2008051608,0,0,0,0,0
2008051609,0,0,0,0,0
2008051610,0,0,0,0,0
2008051611,0,0,0,0,0
2008051612,0,0,0,0,0
2008051613,0,0,0,0,0
2008051614,0,0,0,0,0
2008051615,0,0,0,0,0
2008051616,0,0,0,0,0
2008051617,1.24298560619354,0,0,0,0
2008051618,0.165255576372147,0,0,0,0
2008051619,0,0,0,0,0
2008051620,0,0,0,0,0
2008051621,0,0,0,0,0
2008051622,0,0,0,0,0
2008051623,0,0,0,0,0
2008051700,0,0,0.522477388381958,0,0
2008051701,0,0,0.743216931819916,0,0
2008051702,0,0,1.07322657108307,0,0
2008051703,0,0,1.12396240234375,0,0
2008051704,0,0,0.337556660175323,0,0
2008051705,0,0,0.213122636079788,0,0
2008051706,0,0,1.31236302852631,0,0
2008051707,0,0,1.16875123977661,0,0
2008051708,0,0,0.366137892007828,0,0
2008051709,0,0,0,0,0
2008051710,0,0,0,0,0
2008051711,0,0,0,0,0
2008051712,0,0,0,0,0
2008051713,0,0,0,0,0
2008051714,0,0,0,0,0
2008051715,0,0,0,0,0
2008051716,0,0,0,0,0
2008051717,0,0,0,0,0
2008051718,0,1.48825621604919,0,0,0
2008051719,1.79729080200195,1.48379981517792,0,0,0
2008051720,3.30188155174255,0.570403754711151,0,0,0.0707904398441315
2008051721,2.925701379776,0.264976471662521,0,0,0
2008051722,1.31663846969604,0.144676968455315,0,0,0
2008051723,1.16707789897919,0.109184324741364,0,2.844162940979,0
2008051800,0.113325826823711,0,0,0.313324630260468,0
2008051801,0,0,0,0,0
2008051802,0,0,0,0,0
2008051803,0,0,0,0,0
