layer;Par1;Par2;Par3;Par4;Par5;Par6;Par7
GR;NA;NA;NA;NA;NA;NA;NA
SURFACE;NA;0.9;1;10;NA;NA;NA
SOIL;150;0.7;0.7;0.5;350;60;100
DRAINMAT;150;0.5;1;NA;NA;NA;NA
