layer;Par1;Par2;Par3;Par4;Par5;Par6;Par7
GR;NA;NA;NA;NA;NA;NA;NA
SURFACE;NA;0.01;0.001;0;NA;NA;NA
SOIL;50;0.2;0.2;0.01;50;30;50
DRAINMAT;0;0;0.001;NA;NA;NA;NA
